央视,#genre#
广东影视,http://111.59.139.82:8181/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育++,http://111.59.139.82:8181/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
广东科技,http://111.59.139.82:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏剧,http://111.59.139.82:8181/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道01,http://111.59.139.82:8181/tsfile/live/1201_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道02,http://111.59.139.82:8181/tsfile/live/1202_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道03,http://111.59.139.82:8181/tsfile/live/1203_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道04,http://111.59.139.82:8181/tsfile/live/1204_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道05,http://111.59.139.82:8181/tsfile/live/1205_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道06,http://111.59.139.82:8181/tsfile/live/1206_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道07,http://111.59.139.82:8181/tsfile/live/1207_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道08,http://111.59.139.82:8181/tsfile/live/1208_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道09,http://111.59.139.82:8181/tsfile/live/1209_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道10,http://111.59.139.82:8181/tsfile/live/1210_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道11,http://111.59.139.82:8181/tsfile/live/1211_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道12,http://111.59.139.82:8181/tsfile/live/1212_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道13,http://111.59.139.82:8181/tsfile/live/1213_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道14,http://111.59.139.82:8181/tsfile/live/1214_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道15,http://111.59.139.82:8181/tsfile/live/1215_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道16,http://111.59.139.82:8181/tsfile/live/1216_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道17,http://111.59.139.82:8181/tsfile/live/1217_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道18,http://111.59.139.82:8181/tsfile/live/1218_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道19,http://111.59.139.82:8181/tsfile/live/1219_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道20,http://111.59.139.82:8181/tsfile/live/1220_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道21,http://111.59.139.82:8181/tsfile/live/1221_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道22,http://111.59.139.82:8181/tsfile/live/1222_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道23,http://111.59.139.82:8181/tsfile/live/1223_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道24,http://111.59.139.82:8181/tsfile/live/1224_1.m3u8?key=txiptv&playlive=1&authid=0
重温经典,http://111.59.139.82:8181/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
高清电影,http://111.59.139.82:8181/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院 高清,http://111.59.139.82:8181/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
动作电影 高清,http://111.59.139.82:8181/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
4K电影 高清,http://111.59.139.82:8181/tsfile/live/1098_1.m3u8?key=txiptv&playlive=1&authid=0
南宁影视 高清,http://111.59.139.82:8181/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
广西影视 高清,http://111.59.139.82:8181/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
玉林新闻 高清,http://111.59.139.82:8181/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
南宁新闻 高清,http://111.59.139.82:8181/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0
广西新闻 高清,http://111.59.139.82:8181/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
广西都市 高清,http://111.59.139.82:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
南宁公共 高清,http://111.59.139.82:8181/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
广西新闻回放,http://111.59.139.82:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://111.59.139.82:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
广东民生,http://111.59.139.82:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
广州台,http://111.59.139.82:8181/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
中国气象,http://111.59.139.82:8181/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
玉林娱乐,http://111.59.139.82:8181/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
玉林信息,http://111.59.139.82:8181/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
兴业台,http://111.59.139.82:8181/tsfile/live/1115_1.m3u8?key=txiptv&playlive=1&authid=0
茶频道,http://111.59.139.82:8181/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
北京科教,http://111.59.139.82:8181/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
中学生,http://111.59.139.82:8181/tsfile/live/1113_1.m3u8?key=txiptv&playlive=1&authid=0
生态环境,http://111.59.139.82:8181/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
摄影频道,http://111.59.139.82:8181/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
新动漫,http://111.59.139.82:8181/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://111.59.139.82:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://111.59.139.82:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://111.59.139.82:8181/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://111.59.139.82:8181/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
珠江频道,http://111.59.139.82:8181/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://111.59.139.82:8181/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
